,optimizer,task,iteration,mean_rank,lb,ub
55,cocabo,xgboost_opt,55.0,3.0833333333333335,2.3833333333333333,3.800416666666666
56,cocabo,xgboost_opt,56.0,3.066666666666667,2.4166666666666665,3.8
57,cocabo,xgboost_opt,57.0,3.0,2.316666666666667,3.7
58,cocabo,xgboost_opt,58.0,2.9833333333333334,2.3333333333333335,3.7333333333333334
59,cocabo,xgboost_opt,59.0,2.966666666666667,2.283333333333333,3.7337499999999997
60,cocabo,xgboost_opt,60.0,3.0166666666666666,2.316666666666667,3.7666666666666666
61,cocabo,xgboost_opt,61.0,3.0166666666666666,2.35,3.767083333333333
62,cocabo,xgboost_opt,62.0,2.9166666666666665,2.2329166666666667,3.683333333333333
63,cocabo,xgboost_opt,63.0,2.9,2.1829166666666664,3.6837499999999994
64,cocabo,xgboost_opt,64.0,2.9166666666666665,2.2333333333333334,3.6837499999999994
65,cocabo,xgboost_opt,65.0,2.816666666666667,2.1333333333333333,3.5004166666666663
66,cocabo,xgboost_opt,66.0,2.816666666666667,2.1995833333333334,3.4837499999999997
67,cocabo,xgboost_opt,67.0,2.75,2.15,3.4166666666666665
68,cocabo,xgboost_opt,68.0,2.6333333333333333,2.0,3.316666666666667
69,cocabo,xgboost_opt,69.0,2.65,2.033333333333333,3.3666666666666667
70,cocabo,xgboost_opt,70.0,2.6333333333333333,2.0,3.3333333333333335
71,cocabo,xgboost_opt,71.0,2.6666666666666665,2.0833333333333335,3.3666666666666667
72,cocabo,xgboost_opt,72.0,2.6666666666666665,2.0329166666666665,3.4166666666666665
73,cocabo,xgboost_opt,73.0,2.6666666666666665,2.033333333333333,3.3333333333333335
74,cocabo,xgboost_opt,74.0,2.6666666666666665,2.06625,3.400416666666666
75,cocabo,xgboost_opt,75.0,2.6666666666666665,2.1166666666666667,3.300416666666666
76,cocabo,xgboost_opt,76.0,2.6333333333333333,2.0329166666666665,3.3
77,cocabo,xgboost_opt,77.0,2.6,2.015833333333333,3.283333333333333
78,cocabo,xgboost_opt,78.0,2.6,1.9833333333333334,3.300416666666666
79,cocabo,xgboost_opt,79.0,2.5833333333333335,1.9829166666666667,3.2666666666666666
80,cocabo,xgboost_opt,80.0,2.6166666666666667,2.0,3.3337499999999998
81,cocabo,xgboost_opt,81.0,2.55,2.0,3.217083333333333
82,cocabo,xgboost_opt,82.0,2.566666666666667,1.95,3.216666666666667
83,cocabo,xgboost_opt,83.0,2.566666666666667,1.9833333333333334,3.2004166666666665
84,cocabo,xgboost_opt,84.0,2.5833333333333335,1.9833333333333334,3.2333333333333334
85,cocabo,xgboost_opt,85.0,2.5833333333333335,1.9666666666666666,3.25
86,cocabo,xgboost_opt,86.0,2.55,1.95,3.216666666666667
87,cocabo,xgboost_opt,87.0,2.5833333333333335,1.9995833333333333,3.2337499999999997
88,cocabo,xgboost_opt,88.0,2.5833333333333335,2.0,3.317083333333333
89,cocabo,xgboost_opt,89.0,2.6166666666666667,1.9829166666666667,3.2333333333333334
90,cocabo,xgboost_opt,90.0,2.6166666666666667,2.01625,3.283333333333333
91,cocabo,xgboost_opt,91.0,2.6333333333333333,1.9829166666666667,3.35
92,cocabo,xgboost_opt,92.0,2.6333333333333333,2.0329166666666665,3.316666666666667
