,optimizer,task_name,iteration,mean_rank,lb,ub,mean_proportion
2,PFN-CoCaBO,xgboost_opt,2.0,,0.4666666666666667,0.7666666666666667,0.6166666666666667
3,PFN-CoCaBO,xgboost_opt,3.0,,0.38333333333333336,0.7,0.5333333333333333
4,PFN-CoCaBO,xgboost_opt,4.0,,0.3333333333333333,0.6504166666666663,0.5
5,PFN-CoCaBO,xgboost_opt,5.0,,0.31666666666666665,0.65,0.48333333333333334
6,PFN-CoCaBO,xgboost_opt,6.0,,0.43333333333333335,0.7337499999999996,0.5833333333333334
7,PFN-CoCaBO,xgboost_opt,7.0,,0.38333333333333336,0.7333333333333333,0.5666666666666667
8,PFN-CoCaBO,xgboost_opt,8.0,,0.38333333333333336,0.7333333333333333,0.5666666666666667
9,PFN-CoCaBO,xgboost_opt,9.0,,0.36666666666666664,0.717083333333333,0.5666666666666667
10,PFN-CoCaBO,xgboost_opt,10.0,,0.35,0.6833333333333333,0.5166666666666667
11,PFN-CoCaBO,xgboost_opt,11.0,,0.35,0.7,0.5166666666666667
12,PFN-CoCaBO,xgboost_opt,12.0,,0.4,0.7333333333333333,0.5666666666666667
13,PFN-CoCaBO,xgboost_opt,13.0,,0.4166666666666667,0.75,0.5833333333333334
14,PFN-CoCaBO,xgboost_opt,14.0,,0.5329166666666667,0.8333333333333334,0.6833333333333333
15,PFN-CoCaBO,xgboost_opt,15.0,,0.5162500000000001,0.8166666666666667,0.6666666666666666
16,PFN-CoCaBO,xgboost_opt,16.0,,0.4666666666666667,0.7837499999999996,0.6333333333333333
17,PFN-CoCaBO,xgboost_opt,17.0,,0.5333333333333333,0.8166666666666667,0.6833333333333333
18,PFN-CoCaBO,xgboost_opt,18.0,,0.5,0.8,0.65
19,PFN-CoCaBO,xgboost_opt,19.0,,0.48333333333333334,0.7833333333333333,0.6333333333333333
20,PFN-CoCaBO,xgboost_opt,20.0,,0.48333333333333334,0.7833333333333333,0.6333333333333333
21,PFN-CoCaBO,xgboost_opt,21.0,,0.45,0.7666666666666667,0.6166666666666667
22,PFN-CoCaBO,xgboost_opt,22.0,,0.5,0.8,0.65
23,PFN-CoCaBO,xgboost_opt,23.0,,0.48333333333333334,0.8,0.65
24,PFN-CoCaBO,xgboost_opt,24.0,,0.5162500000000001,0.8004166666666663,0.6666666666666666
25,PFN-CoCaBO,xgboost_opt,25.0,,0.5333333333333333,0.8333333333333334,0.6833333333333333
26,PFN-CoCaBO,xgboost_opt,26.0,,0.5166666666666667,0.8333333333333334,0.6833333333333333
27,PFN-CoCaBO,xgboost_opt,27.0,,0.55,0.85,0.7
28,PFN-CoCaBO,xgboost_opt,28.0,,0.55,0.8666666666666667,0.7166666666666667
29,PFN-CoCaBO,xgboost_opt,29.0,,0.5329166666666667,0.8333333333333334,0.6833333333333333
30,PFN-CoCaBO,xgboost_opt,30.0,,0.5666666666666667,0.8504166666666663,0.7166666666666667
31,PFN-CoCaBO,xgboost_opt,31.0,,0.5666666666666667,0.8666666666666667,0.7166666666666667
32,PFN-CoCaBO,xgboost_opt,32.0,,0.55,0.8666666666666667,0.7166666666666667
33,PFN-CoCaBO,xgboost_opt,33.0,,0.5666666666666667,0.85,0.7166666666666667
34,PFN-CoCaBO,xgboost_opt,34.0,,0.5333333333333333,0.8333333333333334,0.7
35,PFN-CoCaBO,xgboost_opt,35.0,,0.5333333333333333,0.8333333333333334,0.6833333333333333
36,PFN-CoCaBO,xgboost_opt,36.0,,0.5333333333333333,0.8333333333333334,0.6833333333333333
37,PFN-CoCaBO,xgboost_opt,37.0,,0.5166666666666667,0.8166666666666667,0.6833333333333333
38,PFN-CoCaBO,xgboost_opt,38.0,,0.5162500000000001,0.8166666666666667,0.6666666666666666
39,PFN-CoCaBO,xgboost_opt,39.0,,0.5,0.8166666666666667,0.6666666666666666
40,PFN-CoCaBO,xgboost_opt,40.0,,0.4995833333333334,0.8,0.65
41,PFN-CoCaBO,xgboost_opt,41.0,,0.5,0.7833333333333333,0.65
42,PFN-CoCaBO,xgboost_opt,42.0,,0.5,0.8,0.65
43,PFN-CoCaBO,xgboost_opt,43.0,,0.48333333333333334,0.8,0.65
44,PFN-CoCaBO,xgboost_opt,44.0,,0.48333333333333334,0.8,0.65
45,PFN-CoCaBO,xgboost_opt,45.0,,0.48333333333333334,0.8,0.65
46,PFN-CoCaBO,xgboost_opt,46.0,,0.5,0.8166666666666667,0.6666666666666666
47,PFN-CoCaBO,xgboost_opt,47.0,,0.5166666666666667,0.8166666666666667,0.6666666666666666
48,PFN-CoCaBO,xgboost_opt,48.0,,0.5,0.8166666666666667,0.6666666666666666
49,PFN-CoCaBO,xgboost_opt,49.0,,0.5166666666666667,0.8166666666666667,0.6666666666666666
50,PFN-CoCaBO,xgboost_opt,50.0,,0.5166666666666667,0.8170833333333329,0.6666666666666666
51,PFN-CoCaBO,xgboost_opt,51.0,,0.5,0.8166666666666667,0.6666666666666666
52,PFN-CoCaBO,xgboost_opt,52.0,,0.5166666666666667,0.8166666666666667,0.6666666666666666
53,PFN-CoCaBO,xgboost_opt,53.0,,0.5166666666666667,0.8333333333333334,0.6833333333333333
54,PFN-CoCaBO,xgboost_opt,54.0,,0.5166666666666667,0.8333333333333334,0.6833333333333333
55,PFN-CoCaBO,xgboost_opt,55.0,,0.48333333333333334,0.8166666666666667,0.65
56,PFN-CoCaBO,xgboost_opt,56.0,,0.4666666666666667,0.8,0.6333333333333333
57,PFN-CoCaBO,xgboost_opt,57.0,,0.45,0.7833333333333333,0.6333333333333333
58,PFN-CoCaBO,xgboost_opt,58.0,,0.4666666666666667,0.7833333333333333,0.6333333333333333
59,PFN-CoCaBO,xgboost_opt,59.0,,0.5,0.8166666666666667,0.65
60,PFN-CoCaBO,xgboost_opt,60.0,,0.5,0.8,0.6666666666666666
61,PFN-CoCaBO,xgboost_opt,61.0,,0.5,0.8166666666666667,0.6666666666666666
