,optimizer_name,task_name,n_training_data,mean_rank,lb,ub
49,pfn_casmopolitan_16,griewank,49.0,3.57,3.31975,3.81
64,pfn_casmopolitan_16,griewank,64.0,3.96,3.76,4.15
81,pfn_casmopolitan_16,griewank,81.0,4.37,4.19,4.53025
100,pfn_casmopolitan_16,griewank,100.0,4.5,4.33,4.65025
121,pfn_casmopolitan_16,griewank,121.0,4.88,4.78,4.96
144,pfn_casmopolitan_16,griewank,144.0,4.93,4.82,5.03
169,pfn_casmopolitan_16,griewank,169.0,4.83,4.68,4.96
196,pfn_casmopolitan_16,griewank,196.0,4.88,4.77,4.97
4,pfn_bodi_24,griewank,4.0,4.47,4.14,4.79
9,pfn_bodi_24,griewank,9.0,4.03,3.75,4.3302499999999995
16,pfn_bodi_24,griewank,16.0,3.93,3.63,4.19
25,pfn_bodi_24,griewank,25.0,4.15,3.89,4.4
36,pfn_bodi_24,griewank,36.0,4.52,4.26,4.77
49,pfn_bodi_24,griewank,49.0,5.14,4.92,5.350249999999999
64,pfn_bodi_24,griewank,64.0,5.62,5.47,5.75
81,pfn_bodi_24,griewank,81.0,5.74,5.59,5.87
100,pfn_bodi_24,griewank,100.0,5.9,5.8,5.98
121,pfn_bodi_24,griewank,121.0,5.94,5.87,5.99
144,pfn_bodi_24,griewank,144.0,5.9,5.83,5.96
169,pfn_bodi_24,griewank,169.0,5.91,5.83,5.98
196,pfn_bodi_24,griewank,196.0,5.97,5.92,6.0
4,cocabo,rosenbrock,4.0,4.61,4.16975,5.08
9,cocabo,rosenbrock,9.0,4.85,4.40975,5.3
16,cocabo,rosenbrock,16.0,4.48,4.03,4.9405
25,cocabo,rosenbrock,25.0,4.4,3.9497500000000003,4.84
36,cocabo,rosenbrock,36.0,3.07,2.66,3.48
49,cocabo,rosenbrock,49.0,2.52,2.2,2.85025
64,cocabo,rosenbrock,64.0,1.97,1.68,2.27025
81,cocabo,rosenbrock,81.0,1.76,1.56,1.96
100,cocabo,rosenbrock,100.0,1.76,1.54,1.97
121,cocabo,rosenbrock,121.0,1.58,1.3997499999999998,1.79
144,cocabo,rosenbrock,144.0,1.55,1.36,1.76
169,cocabo,rosenbrock,169.0,1.62,1.44,1.81025
196,cocabo,rosenbrock,196.0,1.62,1.4497499999999999,1.8
4,casmopolitan,rosenbrock,4.0,4.49,4.06975,4.91
9,casmopolitan,rosenbrock,9.0,4.59,4.13,5.03025
16,casmopolitan,rosenbrock,16.0,4.57,4.15,4.97
25,casmopolitan,rosenbrock,25.0,3.7,3.29,4.16025
