,optimizer,comparison,task,iteration,mean_rank,lb,ub
13,PFN-Casmopolitan,vs. PFNs,griewank,13.0,1.8333333333333333,1.5333333333333334,2.1666666666666665
14,PFN-Casmopolitan,vs. PFNs,griewank,14.0,1.9333333333333333,1.6333333333333333,2.2333333333333334
15,PFN-Casmopolitan,vs. PFNs,griewank,15.0,2.0,1.6991666666666667,2.3333333333333335
16,PFN-Casmopolitan,vs. PFNs,griewank,16.0,2.066666666666667,1.7666666666666666,2.4
17,PFN-Casmopolitan,vs. PFNs,griewank,17.0,1.9333333333333333,1.6333333333333333,2.2333333333333334
18,PFN-Casmopolitan,vs. PFNs,griewank,18.0,1.9,1.6,2.2
19,PFN-Casmopolitan,vs. PFNs,griewank,19.0,2.0,1.6333333333333333,2.3333333333333335
20,PFN-Casmopolitan,vs. PFNs,griewank,20.0,2.0,1.6666666666666667,2.3333333333333335
21,PFN-Casmopolitan,vs. PFNs,griewank,21.0,2.066666666666667,1.6666666666666667,2.4341666666666657
22,PFN-Casmopolitan,vs. PFNs,griewank,22.0,2.066666666666667,1.7,2.433333333333333
23,PFN-Casmopolitan,vs. PFNs,griewank,23.0,2.066666666666667,1.7,2.433333333333333
24,PFN-Casmopolitan,vs. PFNs,griewank,24.0,1.9666666666666666,1.6333333333333333,2.3333333333333335
25,PFN-Casmopolitan,vs. PFNs,griewank,25.0,1.9666666666666666,1.6,2.3
26,PFN-Casmopolitan,vs. PFNs,griewank,26.0,2.0,1.6333333333333333,2.3666666666666667
27,PFN-Casmopolitan,vs. PFNs,griewank,27.0,1.9666666666666666,1.6,2.3333333333333335
28,PFN-Casmopolitan,vs. PFNs,griewank,28.0,1.9666666666666666,1.5666666666666667,2.334166666666666
29,PFN-Casmopolitan,vs. PFNs,griewank,29.0,1.9666666666666666,1.6,2.3666666666666667
30,PFN-Casmopolitan,vs. PFNs,griewank,30.0,1.9333333333333333,1.6,2.3
31,PFN-Casmopolitan,vs. PFNs,griewank,31.0,1.9,1.5333333333333334,2.3
32,PFN-Casmopolitan,vs. PFNs,griewank,32.0,1.8,1.4991666666666668,2.1333333333333333
33,PFN-Casmopolitan,vs. PFNs,griewank,33.0,1.8,1.4666666666666666,2.2
34,PFN-Casmopolitan,vs. PFNs,griewank,34.0,1.7,1.4,2.033333333333333
35,PFN-Casmopolitan,vs. PFNs,griewank,35.0,1.7,1.4,2.033333333333333
36,PFN-Casmopolitan,vs. PFNs,griewank,36.0,1.7666666666666666,1.4333333333333333,2.1
37,PFN-Casmopolitan,vs. PFNs,griewank,37.0,1.7333333333333334,1.4333333333333333,2.066666666666667
38,PFN-Casmopolitan,vs. PFNs,griewank,38.0,1.7333333333333334,1.4333333333333333,2.033333333333333
39,PFN-Casmopolitan,vs. PFNs,griewank,39.0,1.7333333333333334,1.4333333333333333,2.033333333333333
40,PFN-Casmopolitan,vs. PFNs,griewank,40.0,1.7333333333333334,1.4666666666666666,2.066666666666667
41,PFN-Casmopolitan,vs. PFNs,griewank,41.0,1.7666666666666666,1.4666666666666666,2.066666666666667
42,PFN-Casmopolitan,vs. PFNs,griewank,42.0,1.8,1.5,2.1333333333333333
43,PFN-Casmopolitan,vs. PFNs,griewank,43.0,1.8,1.4666666666666666,2.1333333333333333
44,PFN-Casmopolitan,vs. PFNs,griewank,44.0,1.8666666666666667,1.5666666666666667,2.2
45,PFN-Casmopolitan,vs. PFNs,griewank,45.0,1.8333333333333333,1.5333333333333334,2.2
46,PFN-Casmopolitan,vs. PFNs,griewank,46.0,1.8333333333333333,1.5,2.2333333333333334
47,PFN-Casmopolitan,vs. PFNs,griewank,47.0,1.8666666666666667,1.5333333333333334,2.2333333333333334
