,optimizer,x_type,x_val,mean_overlap,lb,ub
5,BODi_dummy_baseline,Number of Dimensions,5,0.5958777567281954,0.5811881135052913,0.6108426935042032
6,BODi_dummy_baseline,Number of Dimensions,6,0.6227461410440217,0.6042958067579943,0.6412720156640304
7,BODi_dummy_baseline,Number of Dimensions,7,0.6266375548716944,0.6115876605123259,0.641982075085315
8,BODi_dummy_baseline,Number of Dimensions,8,0.6363255375259769,0.62461783690935,0.6480063113450651
9,BODi_dummy_baseline,Number of Dimensions,9,0.664914897168565,0.6508051159111731,0.6795446489075485
10,BODi_dummy_baseline,Number of Dimensions,10,0.6516344129740377,0.6406278610702362,0.6622881760858482
11,BODi_dummy_baseline,Number of Dimensions,11,0.6533223850899219,0.6368448706635548,0.6716605581588475
12,BODi_dummy_baseline,Number of Dimensions,12,0.6658092793490332,0.6539834272777219,0.6777667635276786
13,BODi_dummy_baseline,Number of Dimensions,13,0.664173295123675,0.6508950473046761,0.6773859189311185
14,BODi_dummy_baseline,Number of Dimensions,14,0.7081442240389607,0.6964340101476811,0.7198461515957214
15,BODi_dummy_baseline,Number of Dimensions,15,0.6534297010110635,0.6414523993455986,0.665527444782486
16,BODi_dummy_baseline,Number of Dimensions,16,0.7012294548444911,0.6914822373497169,0.7106541426703952
17,BODi_dummy_baseline,Number of Dimensions,17,0.6971145930472348,0.6897779661285385,0.7045696960290445
18,BODi_dummy_baseline,Number of Dimensions,18,0.7047369405942419,0.691267176337944,0.7180945992314176
